автор tf=0,0093023 idf=0,7695511 tf-idf=0,0071586
активация tf=0,0023256 idf=1,39794 tf-idf=0,003251
американский tf=0,0023256 idf=0,9586073 tf-idf=0,0022293
анализ tf=0,0023256 idf=1,0457575 tf-idf=0,002432
антивирусный tf=0,0046512 idf=1,39794 tf-idf=0,006502
антитело tf=0,0023256 idf=1,69897 tf-idf=0,0039511
бак tf=0,0046512 idf=2 tf-idf=0,0093023
безвредный tf=0,0023256 idf=2 tf-idf=0,0046512
беременный tf=0,0023256 idf=1,69897 tf-idf=0,0039511
болезнь tf=0,0023256 idf=1,5228787 tf-idf=0,0035416
большой tf=0,0023256 idf=0,79588 tf-idf=0,0018509
будущее tf=0,0023256 idf=1,2218487 tf-idf=0,0028415
вероятно tf=0,0023256 idf=1,69897 tf-idf=0,0039511
весь tf=0,0023256 idf=1 tf-idf=0,0023256
ветряной tf=0,0023256 idf=2 tf-idf=0,0046512
вид tf=0,0023256 idf=0,79588 tf-idf=0,0018509
вир tf=0,0023256 idf=2 tf-idf=0,0046512
вирус tf=0,0093023 idf=1,69897 tf-idf=0,0158044
вирусный tf=0,0139535 idf=1,69897 tf-idf=0,0237066
вич tf=0,0069767 idf=1,69897 tf-idf=0,0118533
включать tf=0,0023256 idf=1,39794 tf-idf=0,003251
влияние tf=0,0023256 idf=1,5228787 tf-idf=0,0035416
вмешательство tf=0,0023256 idf=1,5228787 tf-idf=0,0035416
внутриклеточный tf=0,0023256 idf=2 tf-idf=0,0046512
возбудитель tf=0,0023256 idf=1,69897 tf-idf=0,0039511
воздействие tf=0,0023256 idf=1,69897 tf-idf=0,0039511
волновать tf=0,0023256 idf=2 tf-idf=0,0046512
вопрос tf=0,0046512 idf=0,69897 tf-idf=0,003251
воспаление tf=0,0046512 idf=1,5228787 tf-idf=0,0070832
вызывать tf=0,0046512 idf=1,154902 tf-idf=0,0053716
вырабатывать tf=0,0023256 idf=1,5228787 tf-idf=0,0035416
выяснять tf=0,0023256 idf=1,154902 tf-idf=0,0026858
генитальный tf=0,0023256 idf=2 tf-idf=0,0046512
гепатит tf=0,0069767 idf=2 tf-idf=0,0139535
герпес tf=0,0046512 idf=2 tf-idf=0,0093023
глубокий tf=0,0046512 idf=2 tf-idf=0,0093023
говорить tf=0,0023256 idf=0,9208188 tf-idf=0,0021414
группа tf=0,0023256 idf=0,9208188 tf-idf=0,0021414
